tweet_id,year,AR,MB
730498174813605888,2016,2,2
707677950725001216,2016,3,3
782352027573641216,2016,3,3
804075085413961729,2016,3,3
735497100750901250,2016,3,3
694930080066334721,2016,3,3
722509645005373442,2016,2,2
763411103611228160,2016,3,3
778608194755170304,2016,1,1
697834749491093505,2016,3,3
736650770125193216,2016,3,3
751107027053584387,2016,2,2
745340522756079620,2016,1,1
743224107832086528,2016,1,1
758367625294544896,2016,2,2
745696027445952512,2016,1,1
812761956322942977,2016,1,1
710113438492655616,2016,2,2
727221402739298306,2016,3,3
788483550597279744,2016,2,2
737252307558010881,2016,3,3
734058585399910400,2016,3,3
712017748285636609,2016,3,3
707697835509227524,2016,1,1
720680618242146304,2016,1,1
727575982094188545,2016,2,2
743941426715648003,2016,1,1
735967732315869184,2016,2,2
780518369929953281,2016,3,3
732980045623463937,2016,3,1
770372978970419200,2016,3,3
780489633989787648,2016,3,3
712348134400270336,2016,2,2
720347719013826561,2016,2,1
776457506625294339,2016,2,2
698701845158612992,2016,2,2
690344803263975424,2016,3,3
781998960583901184,2016,2,1
731878721045422080,2016,3,3
692838941821538304,2016,1,1
743476048453566464,2016,3,3
812011075914891264,2016,3,3
775678319387869184,2016,3,3
717096926538141696,2016,2,1
710572921056530432,2016,1,1
708436291914956804,2016,3,3
684480094908354560,2016,1,1
782997987064774658,2016,1,1
743212675933544448,2016,2,2
809823205305225216,2016,2,2
775363797544472577,2016,2,2
750792921033564160,2016,1,1
777215777153757184,2016,3,3
804736670838951936,2016,3,3
778232179717464065,2016,2,1
782972320264642561,2016,3,3
721035885093892096,2016,2,2
723595004602540032,2016,3,3
758034695149883392,2016,3,3
804064475678724099,2016,3,3
702554741495218176,2016,3,3
690911899123249152,2016,3,3
705444581035343872,2016,1,1
722854050782408706,2016,1,1
751425663828197376,2016,3,3
784379671941111808,2016,1,3
730835090649939968,2016,1,1
730881005498695680,2016,3,3
747533226730610689,2016,2,2
690605693976604675,2016,1,1
742741838214234114,2016,1,1
743251219393748994,2016,1,3
709820253232959488,2016,1,1
711240034654019584,2016,3,3
754436989483646977,2016,3,3
693520259798560768,2016,1,1
697114725084172288,2016,3,3
704760198414651393,2016,3,3
720676771478122496,2016,1,1
743514243530514432,2016,1,1
766334192669962240,2016,1,1
688862029566771200,2016,1,1
768122580830040064,2016,1,1
682714713520644096,2016,3,3
780579983144128512,2016,3,3
690591151699685377,2016,3,3
682991771677253634,2016,3,3
703255420949897217,2016,1,2
780571553268396032,2016,3,3
685994646103785472,2016,3,3
737988763138314240,2016,1,1
745621491627208704,2016,3,3
767400967805476869,2016,3,3
688126428001386497,2016,1,1
771331676454649856,2016,1,1
716331207164829696,2016,3,3
793105930451836929,2016,1,1
793591821066731521,2016,3,3
702630120390000640,2016,3,3
755880981438038016,2016,1,1
775789532478406656,2016,1,1
713478522946392064,2016,3,3
721747728464609280,2016,3,3
687303463835836416,2016,3,3
694612170068221953,2016,3,3
765227925553684480,2016,3,3
778954281365999616,2016,1,1
723978340969906176,2016,3,3
718547765580541952,2016,2,2
697466568410705920,2016,1,1
740644587379773441,2016,3,3
734788744474169344,2016,1,1
727243974923149313,2016,1,3
757289763061850112,2016,1,1
781198585186623488,2016,1,1
715648868776542212,2016,1,1
735865712527478785,2016,1,2
710560109781450752,2016,1,1
701803618052218880,2016,1,1
702158081766121476,2016,1,1
796491325331951616,2016,3,3
763080891186941952,2016,3,3
687056233971494912,2016,3,1
745669498389303296,2016,1,1
690942703178244096,2016,3,3
708015865237786624,2016,2,2
806287274992422912,2016,1,1
774015515513806849,2016,1,3
764129692831985664,2016,1,1
760611267950235648,2016,2,2
766402026838163456,2016,1,1
781268757482135553,2016,1,1
684037843543396352,2016,1,1
765880495666241536,2016,3,3
699677213201797121,2016,1,1
743113966059065345,2016,3,3
777567965508022273,2016,3,3
791002655170568192,2016,3,3
786651612899139584,2016,1,1
700095006388981760,2016,3,1
729748843747803137,2016,3,1
771809724878688256,2016,3,3
687000505474756609,2016,1,1
753681292831625216,2016,3,3
739902245421060096,2016,3,3
783718007562534913,2016,2,2
737317903394086912,2016,3,3
761323902022844416,2016,3,3
692366181961986048,2016,3,3
779314121200246784,2016,3,3
